,Topics,Questions
0,A statement that the study involves research,"What is the purpose of the NT-I7 study as described in the informed consent form?
A) To compare the effectiveness of NT-I7 with standard chemotherapy treatments.
B) To evaluate the safety and side effects of NT-I7 in treating Kaposi Sarcoma in patients with or without HIV.
C) To determine the financial impact of NT-I7 treatment on the healthcare system.
D) To assess the long-term survival rates of patients with Kaposi Sarcoma after NT-I7 treatment.

Correct answer: B) To evaluate the safety and side effects of NT-I7 in treating Kaposi Sarcoma in patients with or without HIV."
1,An explanation of the purposes of the research,"What is the primary objective of the CITN-17 Phase 1 study involving NT-I7 (rhIL-7-hyFc)?
A) To compare the effectiveness of NT-I7 with standard chemotherapy treatments; B) To assess the safety and side effect profile of NT-I7 in treating Kaposi Sarcoma in patients with or without HIV; C) To determine the best surgical techniques for Kaposi Sarcoma; D) To evaluate the long-term survival rates of patients with Kaposi Sarcoma after NT-I7 treatment

Correct answer: B"
2,The expected duration of the subject's participation,"How long is the expected duration of a participant's involvement in the NT-I7 study for the treatment of Kaposi Sarcoma?
A) Up to 27 weeks with 4 doses of NT-I7; B) Up to 12 weeks with 2 doses of NT-I7; C) Up to 36 weeks with 6 doses of NT-I7; D) Up to 18 weeks with 3 doses of NT-I7
Correct answer: A"
3,Any additional costs to the subject that may result from participation in the research,"Which of the following statements is true regarding the costs you may incur by participating in the NT-I7 study for the treatment of Kaposi Sarcoma?

A) You will be responsible for all medical costs associated with the study, including tests, exams, and procedures.
B) You will receive compensation for travel and personal costs related to study participation.
C) You and/or your insurance will need to pay for medical care received as part of the study, similar to usual care costs.
D) The study will cover all medical and personal costs, including travel and time off work.

Correct answer: C) You and/or your insurance will need to pay for medical care received as part of the study, similar to usual care costs."
4,A description of the procedures to be followed,"Which of the following procedures is NOT part of the study protocol for participants in the CITN-17 study?

A) Receiving NT-I7 as an injection into the muscle every 9 weeks for up to 27 weeks.
B) Undergoing a tumor biopsy before the first dose of the study drug and optionally at weeks 9 and 13.
C) Participating in a weekly physical therapy session as part of the study treatment.
D) Having an electrocardiogram to measure the electrical activity of the heart before beginning the study.

Correct answer: C) Participating in a weekly physical therapy session as part of the study treatment."
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will happen if you choose to withdraw from the study at any time?
A) You will be required to pay for all study-related treatments received up to that point; B) You will be prohibited from seeking further treatment for your condition; C) You will be able to stop participating safely and will still have the option to let the study doctor know how you are doing; D) You will automatically be enrolled in a different clinical trial without your consent.
Correct answer: C"
6,Identification of any procedures which are experimental,"Which of the following procedures is considered experimental in the context of this study for the treatment of Kaposi Sarcoma?
A) Antiretroviral therapy (ART) for patients with HIV
B) Administration of NT-I7 (rhIL-7-hyFc) every 9 weeks for up to 27 weeks
C) Radiation therapy for limited disease
D) Chemotherapy with FDA-approved agents such as liposomal doxorubicin and paclitaxel

Correct answer: B"
7,The approximate number of subjects involved in the study,"How many participants are expected to be enrolled in the Phase 1 Study of NT-I7 (rhIL-7-hyFc) for the Treatment of Kaposi Sarcoma?
A) 10; B) 20; C) 30; D) 40
Correct answer: B"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"Which of the following is a potential risk associated with participating in the NT-I7 study for the treatment of Kaposi Sarcoma?
A) Increased risk of common cold; B) Injection site reactions such as swelling and redness; C) Guaranteed improvement in cancer symptoms; D) Immediate financial compensation for participation

Correct answer: B"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"What potential benefits are associated with participating in the NT-I7 study for the treatment of Kaposi Sarcoma?
A) Guaranteed cure for Kaposi Sarcoma
B) Definite improvement in overall survival rates
C) Possible stabilization or shrinkage of cancer due to immune system boost
D) Financial compensation for participation

Correct answer: C"
10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","What are the alternative treatment options available for Kaposi Sarcoma if you choose not to participate in the NT-I7 study?
A) Only antiretroviral therapy (ART) for HIV without any other treatment for Kaposi Sarcoma; 
B) A combination of treatments including antiretroviral therapy (ART), radiation therapy, surgery, chemotherapy, biological therapy, and topical treatment; 
C) Exclusive use of herbal remedies and dietary supplements; 
D) Participation in a different clinical trial with an undisclosed experimental drug.

Correct answer: B"
11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","Which of the following statements best describes how your personal health information will be handled in the NT-I7 study for the treatment of Kaposi Sarcoma?
A) Your personal health information will be shared publicly with your name and contact information included.
B) Your personal health information will be kept confidential, with efforts made to protect it, and will not be shared with your name or contact information.
C) Your personal health information will only be accessible to the study sponsor and no other organizations will have access to it.
D) Your personal health information will be disclosed to your employer and insurance company for their records.

Correct answer: B"
12,"For research involving more than minimal risk, an explanation as to whether any compensation, and an explanation as to whether any medical treatments are available, if injury occurs and, if so, what they consist of, or where further information may be obtained","If you experience an injury as a direct result of participating in this study, what kind of compensation for medical treatment can you expect from the study sponsors?
A) The study sponsors will cover all medical and personal costs related to the injury.
B) The study sponsors will pay for the reasonable and necessary costs of treatment of the injury if it is a direct result of a defect in the study drug.
C) The study sponsors will provide full compensation for both the injury and any resulting loss of income.
D) The study sponsors will not provide any form of compensation for injuries sustained during the study.

Correct answer: B) The study sponsors will pay for the reasonable and necessary costs of treatment of the injury if it is a direct result of a defect in the study drug."
13,"Research, Rights or Injury: An explanation of whom to contact for answers to pertinent questions about the research and research subjects' rights, and whom to contact in the event of a research-related injury to the subject","If you experience an injury as a direct result of participating in the study, who should you contact immediately for treatment options?

A) Your primary care physician;
B) The study sponsor, NeoImmuneTech, Inc.;
C) Your study doctor;
D) The National Cancer Institute (NCI) Cancer Information Service.

Correct answer: C) Your study doctor."
14,"A statement that participation is voluntary, refusal to participate will involve no penalty or loss of benefits to which the subject is otherwise entitled, and the subject may discontinue participation at any time without penalty or loss of benefits, to which the subject is otherwise entitled","Which of the following statements is true regarding your participation in the NT-I7 study for the treatment of Kaposi Sarcoma?

A) Participation in the study is mandatory once you sign the consent form.
B) You may face penalties or loss of medical benefits if you refuse to participate in the study.
C) You can choose not to participate or to stop participating at any time without any penalties or loss of benefits you are entitled to.
D) If you decide to stop participating in the study, you will be required to reimburse the costs of any treatments received.

Correct answer: C) You can choose not to participate or to stop participating at any time without any penalties or loss of benefits you are entitled to."
