,Topics,Questions
0,A statement that the study involves research,"Which of the following statements best describes the nature of the CIRTiN-BC study?

A) The study is a routine medical procedure with no research components.
B) The study is a commercial service offered to patients with bladder cancer.
C) The study is a research trial investigating the combination of radiation therapy with Immune Checkpoint Inhibitor treatment in patients with bladder cancer.
D) The study is a survey of patient satisfaction with bladder cancer treatments.

Correct answer: C) The study is a research trial investigating the combination of radiation therapy with Immune Checkpoint Inhibitor treatment in patients with bladder cancer."
1,An explanation of the purposes of the research,"What is the primary goal of the CIRTiN-BC study?
A) To assess the effectiveness of chemotherapy in treating bladder cancer; B) To evaluate the benefits of combining radiation therapy with Immune Checkpoint Inhibitor (ICI) treatment in patients with node-positive bladder cancer; C) To determine the best surgical techniques for bladder removal; D) To test a new diagnostic method for detecting bladder cancer

Correct answer: B"
2,The expected duration of the subject's participation,"How long is the total expected duration of participation for each subject in the Checkpoint Inhibitor and Radiation Therapy in Bulky, Node-positive Bladder Cancer (CIRTiN-BC) study?
A) Approximately 6 months; B) Approximately 1 year; C) Approximately 2 years; D) Approximately 3 years
Correct answer: C) Approximately 2 years"
3,Any additional costs to the subject that may result from participation in the research,"Which of the following statements is true regarding the costs associated with participating in the Checkpoint Inhibitor and Radiation Therapy in Bulky, Node-positive Bladder Cancer (CIRTiN-BC) study?

A) Participants will receive a stipend to cover transportation and parking expenses.
B) Participants will be responsible for the costs of treatments and procedures as they are considered standard of care.
C) All medical costs incurred during the study will be covered by the research study funds.
D) Participants will be reimbursed for any lost wages resulting from study participation.

Correct answer: B) Participants will be responsible for the costs of treatments and procedures as they are considered standard of care."
4,A description of the procedures to be followed,"How many radiation treatments will participants receive as part of the study protocol?

A) One radiation treatment
B) Two radiation treatments
C) Three radiation treatments
D) Four radiation treatments

Correct answer: C) Three radiation treatments"
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will happen if you choose to withdraw from the CIRTiN-BC study at any point?
A) You will be required to pay a penalty fee for early withdrawal; 
B) Your medical care or relationship with UT Southwestern staff or doctors will be negatively affected; 
C) You will still be able to receive standard medical care without any impact on your legal rights or quality of healthcare; 
D) You will be obligated to continue participating in other unrelated clinical trials.

Correct answer: C"
6,Identification of any procedures which are experimental,"Which of the following procedures is considered experimental in the context of the Checkpoint Inhibitor and Radiation Therapy in Bulky, Node-positive Bladder Cancer (CIRTiN-BC) study?
A) Standard chemotherapy for bladder cancer;
B) Radical cystectomy or removal of the bladder;
C) The combination of Immune Checkpoint Inhibitor (ICI) treatment with Personalized Ultrafractionated Stereotactic Ablative Radiation (PULSAR);
D) Routine follow-up visits with a medical oncologist after surgery.

Correct answer: C"
7,The approximate number of subjects involved in the study,"How many participants are expected to be enrolled in the Checkpoint Inhibitor and Radiation Therapy in Bulky, Node-positive Bladder Cancer (CIRTiN-BC) study?
A) 15; B) 27; C) 35; D) 50
Correct answer: B"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"Which of the following is a potential risk associated with participating in the CIRTiN-BC study?
A) Temporary hair loss due to radiation therapy; B) Increased risk of common cold; C) Guaranteed cure of bladder cancer; D) Risk of injury to blood vessels from radiation therapy

Correct answer: D) Risk of injury to blood vessels from radiation therapy"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"Which of the following is a potential benefit of participating in the Checkpoint Inhibitor and Radiation Therapy in Bulky, Node-positive Bladder Cancer (CIRTiN-BC) study?

A) Guaranteed cure of bladder cancer
B) Financial compensation for participation
C) Possible reduction in the risk of bladder cancer recurrence or spread after surgery
D) Immediate access to new FDA-approved treatments for bladder cancer

Correct answer: C"
10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","What are the alternative treatment options available to you if you choose not to participate in the CIRTiN-BC study?
A) Participating in a different clinical trial for bladder cancer; B) Receiving chemotherapy followed by surgery; C) Undergoing surgery only, without ICI or radiation therapy; D) All of the above

Correct answer: D"
11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","Which of the following statements best describes how your personal health information (PHI) will be protected in the Checkpoint Inhibitor and Radiation Therapy in Bulky, Node-positive Bladder Cancer (CIRTiN-BC) study?
A) Your PHI will be shared publicly to help with the advancement of medical research.
B) Your PHI will be used and disclosed without any confidentiality measures in place.
C) Your PHI will be handled confidentially, and if study results are published, you will not be identified.
D) Your PHI will be kept confidential only during the study and may be released publicly after the study ends.

Correct answer: C) Your PHI will be handled confidentially, and if study results are published, you will not be identified."
12,"For research involving more than minimal risk, an explanation as to whether any compensation, and an explanation as to whether any medical treatments are available, if injury occurs and, if so, what they consist of, or where further information may be obtained","What does the new consent form indicate regarding compensation for research-related injuries in the Checkpoint Inhibitor and Radiation Therapy in Bulky, Node-positive Bladder Cancer (CIRTiN-BC) study?

A) Participants will receive financial compensation for any research-related injuries.
B) Participants will receive free medical treatment for any research-related injuries.
C) Participants may receive medical care for research-related injuries, which may be billed to them or their insurance, and there are no plans to provide monetary compensation.
D) The consent form does not mention anything about compensation or medical treatment for research-related injuries.

Correct answer: C) Participants may receive medical care for research-related injuries, which may be billed to them or their insurance, and there are no plans to provide monetary compensation."
13,"Research, Rights or Injury: An explanation of whom to contact for answers to pertinent questions about the research and research subjects' rights, and whom to contact in the event of a research-related injury to the subject","If you experience an adverse reaction or injury related to the research study, whom should you contact immediately?

A) Your primary care physician;
B) The study team at the provided contact numbers;
C) The insurance company;
D) A family member or friend.

Correct answer: B) The study team at the provided contact numbers."
14,"A statement that participation is voluntary, refusal to participate will involve no penalty or loss of benefits to which the subject is otherwise entitled, and the subject may discontinue participation at any time without penalty or loss of benefits, to which the subject is otherwise entitled","What does the consent form state about your right to withdraw from the study?
A) Withdrawing from the study will result in a penalty.
B) You may withdraw at any time without any impact on your medical care or legal rights.
C) Refusal to participate will result in the loss of benefits you are entitled to.
D) Withdrawing from the study will affect your future healthcare services at UT Southwestern Medical Center.

Correct answer: B) You may withdraw at any time without any impact on your medical care or legal rights."
