,Unnamed: 0,Topics,Questions
0,0,A statement that the study involves research,"Which of the following statements best describes the nature of the activity described in the consent form?
A) A routine medical procedure with no research component
B) A personal interview with no data collection
C) A research study investigating patient experiences in an outpatient infusion clinic
D) A commercial product survey for marketing purposes

Correct answer: C) A research study investigating patient experiences in an outpatient infusion clinic"
1,1,An explanation of the purposes of the research,"What is the primary goal of the research study titled ""Testing for Pain, Stress, and Affect in the Infusion Clinic""?
A) To evaluate the effectiveness of new chemotherapy drugs; B) To assess the patient experience in the outpatient infusion clinic with regards to pain, stress, and affect; C) To compare different infusion clinic environments; D) To determine the financial impact of infusion treatments on patients
Correct answer: B"
2,2,The expected duration of the subject's participation,"Approximately how much time will participants need to dedicate to this study during their visit to the infusion clinic?
A) 15 minutes; B) 30 minutes; C) 45 minutes; D) 60 minutes
Correct answer: B) 30 minutes"
3,3,Any additional costs to the subject that may result from participation in the research,"What will be the financial responsibility of the participant for taking part in the ""Testing for Pain, Stress, and Affect in the Infusion Clinic"" study?
A) Participants will be responsible for the cost of surveys and heart rate measurements.
B) Participants will incur costs for the use of the pulse oximeter.
C) There are no costs to the participant or their insurance for participating in this study.
D) Participants will need to pay for accessing their medical records.

Correct answer: C) There are no costs to the participant or their insurance for participating in this study."
4,4,A description of the procedures to be followed,"What will participants be required to do as part of the study procedures in the infusion clinic?

A) Complete a series of physical fitness tests.
B) Undergo a surgical procedure related to their condition.
C) Participate in an 11-minute experience during their infusion treatment and complete three surveys.
D) Attend weekly group therapy sessions for stress management.

Correct answer: C) Participate in an 11-minute experience during their infusion treatment and complete three surveys."
5,5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"If you choose to withdraw from the study, what will happen to the data already collected from you?
A) The data will be immediately destroyed; B) The data will be used without your consent; C) The data will be de-identified and stored; D) The data will be handed over to you.

Correct answer: C"
6,6,Identification of any procedures which are experimental,"Which of the following procedures in the study ""Testing for Pain, Stress, and Affect in the Infusion Clinic"" is considered experimental?
A) Standard therapy treatment in the infusion clinic; B) Completion of surveys on a tablet during the infusion treatment; C) Heart rate measurements using a pulse oximeter; D) Accessing medical records to record specific therapy and medication

Correct answer: B"
7,7,The approximate number of subjects involved in the study,"How many participants will the study aim to include for the investigation of patient experiences in the outpatient infusion clinic?
A) 50 participants; B) 100 participants; C) 150 participants; D) The number of participants is not specified
Correct answer: D"
8,8,A description of any reasonably foreseeable risks or discomforts to the subject,"What are the potential risks associated with participating in the ""Testing for Pain, Stress, and Affect in the Infusion Clinic"" study?
A) Increased stress and anxiety due to study procedures; B) Exacerbation of negative side effects such as nausea from chemotherapy treatment; C) Risk of allergic reactions to study materials; D) Risk of physical injury from the pulse oximeter device.
Correct answer: B"
9,9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"Which of the following is a potential benefit of participating in the ""Testing for Pain, Stress, and Affect in the Infusion Clinic"" study?

A) Guaranteed improvement in the patient's health condition.
B) Financial compensation for the time spent in the study.
C) Contribution to a better understanding of the patient experience with regards to pain, stress, and affect in outpatient infusion clinics.
D) Provision of new medications or therapies not available outside the study.

Correct answer: C) Contribution to a better understanding of the patient experience with regards to pain, stress, and affect in outpatient infusion clinics."
10,10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","If you decide not to participate in the ""Testing for Pain, Stress, and Affect in the Infusion Clinic"" study, what alternative options are available to you according to the consent form?
A) You will be provided with a different set of surveys and heart rate measurements; B) You will be enrolled in a different research study focused on infusion clinic experiences; C) Your treatment, payment, or enrollment in any health plans will not be affected, and you will continue to receive your standard therapy; D) You will receive a new treatment regimen unrelated to the study.

Correct answer: C"
11,11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","Which of the following measures are taken to ensure the confidentiality of your health information in this study?
A) All participant data will be made publicly accessible; 
B) Participant data will be stored without any identifiers on an unsecured server; 
C) Participant data will be assigned a unique identifier and stored on a secured encrypted server with limited access; 
D) Participant health information will be shared with third-party advertisers for marketing purposes.

Correct answer: C) Participant data will be assigned a unique identifier and stored on a secured encrypted server with limited access."
12,12,"For research involving more than minimal risk, an explanation as to whether any compensation, and an explanation as to whether any medical treatments are available, if injury occurs and, if so, what they consist of, or where further information may be obtained","If you experience an injury as a result of participating in this study, what should you do according to the consent form?
A) Contact Cody Stansel at (615) 322-7462 for assistance.
B) Seek medical attention at your own expense.
C) No action is required as the study covers all medical treatments for injuries.
D) Report the injury to your insurance company for compensation.

Correct answer: A) Contact Cody Stansel at (615) 322-7462 for assistance."
13,13,"Research, Rights or Injury: An explanation of whom to contact for answers to pertinent questions about the research and research subjects' rights, and whom to contact in the event of a research-related injury to the subject","If you experience any issues or have questions related to your participation in the study, whom should you contact?

A) The hospital administration; 
B) Cody Stansel at (615) 322-7462; 
C) The nearest emergency room; 
D) Your personal physician

Correct answer: B"
14,14,"A statement that participation is voluntary, refusal to participate will involve no penalty or loss of benefits to which the subject is otherwise entitled, and the subject may discontinue participation at any time without penalty or loss of benefits, to which the subject is otherwise entitled","What will happen if you decide to withdraw from the study after consenting to participate?
A) You will be required to complete the remainder of the study.
B) Your clinical care will be adversely affected.
C) You may stop participating at any time and it will not affect your clinical care.
D) You will incur a penalty or lose benefits to which you are otherwise entitled.

Correct answer: C) You may stop participating at any time and it will not affect your clinical care."
