,Unnamed: 0,Topics,Questions
0,0,A statement that the study involves research,"Which of the following statements best describes the nature of the Bright IDEAS-Young Adults study?

A) The study is a commercial program offering guaranteed problem-solving skills improvement.
B) The study is a routine medical evaluation that all patients undergo.
C) The study is a research project designed to test a problem-solving skills training program for young adults with cancer.
D) The study is a mandatory government program for cancer treatment.

Correct answer: C) The study is a research project designed to test a problem-solving skills training program for young adults with cancer."
1,1,An explanation of the purposes of the research,"What is the primary goal of the Bright IDEAS-Young Adults research study?
A) To evaluate the effectiveness of a new cancer medication for young adults; B) To assess the impact of a physical exercise program on young adults with cancer; C) To test a problem-solving skills training program aimed at reducing distress among young adults with cancer; D) To compare different chemotherapy treatments for young adults

Correct answer: C"
2,2,The expected duration of the subject's participation,"How long is each participant expected to be involved in the Bright IDEAS-Young Adults study?
A) 1 year; B) 2 years; C) 3 years; D) 5 years
Correct answer: B) 2 years"
3,3,Any additional costs to the subject that may result from participation in the research,"Which of the following statements is true regarding any additional costs to the subject for participating in the Bright IDEAS-Young Adults study?
A) Participants will have to pay for the surveys they complete during the study.
B) Participants will incur costs for the problem-solving training sessions if randomized to the Bright IDEAS intervention group.
C) There are no costs to participants associated with participation in this study.
D) Participants will be responsible for transportation costs to attend the problem-solving training sessions.

Correct answer: C) There are no costs to participants associated with participation in this study."
4,4,A description of the procedures to be followed,"Which of the following statements accurately describes the procedures participants will follow if they are assigned to the Bright IDEAS intervention group?

A) Participants will attend weekly in-person yoga sessions for stress management.
B) Participants will receive a list of resources for young adults with cancer and complete six 45-minute sessions with a trained interventionist to learn problem-solving strategies.
C) Participants will be required to undergo additional medical treatments as part of the intervention.
D) Participants will self-administer a series of psychological tests without any guidance from the study staff.

Correct answer: B) Participants will receive a list of resources for young adults with cancer and complete six 45-minute sessions with a trained interventionist to learn problem-solving strategies."
5,5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will happen if you choose to withdraw from the Bright IDEAS-Young Adults study after initially consenting to participate?
A) You will be required to pay a penalty fee for withdrawing; B) You will no longer be able to receive any medical care from the study's medical facilities; C) You may withdraw at any time without penalty and without loss of benefits you are otherwise entitled to; D) Your previous participation data will be used without your consent.

Correct answer: C"
6,6,Identification of any procedures which are experimental,"Which of the following components of the Bright IDEAS-Young Adults study is considered experimental?
A) Completing online surveys about your experiences as a young adult with cancer;
B) Receiving a list of resources for young adults with cancer;
C) Participating in six 45-minute problem-solving skills training sessions with a trained interventionist;
D) Continuing to receive usual psychosocial care available to you.

Correct answer: C"
7,7,The approximate number of subjects involved in the study,"How many participants are expected to enroll in the Bright IDEAS-Young Adults study?
A) 150; B) 250; C) 344; D) 400

Correct answer: C) 344"
8,8,A description of any reasonably foreseeable risks or discomforts to the subject,"What are the potential risks or discomforts that participants might experience in the Bright IDEAS-Young Adults study?
A) Physical side effects from medication; B) Emotional discomfort during training or survey completion; C) Risk of cancer progression due to participation; D) Financial costs for participating in the study sessions

Correct answer: B"
9,9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"Which of the following is a potential benefit of participating in the Bright IDEAS-Young Adults study?

A) Guaranteed cure for cancer
B) Financial compensation for time spent in the study
C) Improved problem-solving skills and strategies for handling stress
D) Immediate access to new cancer treatments

Correct answer: C"
10,10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","What is the alternative to participating in the Bright IDEAS-Young Adults study for young adults with cancer?
A) Enrolling in a different clinical trial focused on young adults with cancer; B) Receiving standard cancer treatment without additional interventions; C) Undergoing a different form of problem-solving skills training; D) There are no stated alternatives to participation in the study.

Correct answer: B"
11,11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","Which of the following statements best describes how your personal information will be handled in the Bright IDEAS-Young Adults study?
A) Your personal information will be shared publicly to promote the study.
B) Your personal information will be kept confidential, with access limited to authorized study personnel, and will not be stored with your survey data.
C) Your personal information will be attached to your survey data and shared with all study sponsors.
D) Your personal information will be used for marketing purposes unrelated to the study.

Correct answer: B"
12,12,"For research involving more than minimal risk, an explanation as to whether any compensation, and an explanation as to whether any medical treatments are available, if injury occurs and, if so, what they consist of, or where further information may be obtained","What compensation is provided to participants if they experience harm as a result of taking part in the Bright IDEAS-Young Adults study?
A) Participants will receive free medical treatment for any injuries.
B) Participants will receive financial compensation for any injuries.
C) The consent form does not mention compensation for harm or injuries related to the study.
D) Participants will receive additional gift cards for any harm experienced.

Correct answer: C) The consent form does not mention compensation for harm or injuries related to the study."
13,13,"Research, Rights or Injury: An explanation of whom to contact for answers to pertinent questions about the research and research subjects' rights, and whom to contact in the event of a research-related injury to the subject","If you experience any discomfort or have concerns about your rights as a participant in the study, whom should you contact?

A) The National Cancer Institute; B) The Principal Investigator, Katie Devine, PhD, MPH; C) The Rutgers University Institutional Review Board; D) Your personal physician

Correct answer: B) The Principal Investigator, Katie Devine, PhD, MPH"
14,14,"A statement that participation is voluntary, refusal to participate will involve no penalty or loss of benefits to which the subject is otherwise entitled, and the subject may discontinue participation at any time without penalty or loss of benefits, to which the subject is otherwise entitled","Which of the following statements is true regarding your participation in the Bright IDEAS-Young Adults study?

A) You are required to participate in the study once you have signed the consent form and cannot withdraw.
B) If you choose not to participate in the study, you will lose access to certain medical treatments you are currently entitled to.
C) Participation in the study is voluntary, and you can withdraw at any time without any penalty or loss of benefits you are entitled to outside of the study.
D) Withdrawing from the study after giving consent will result in a penalty or loss of benefits you are otherwise entitled to receive.

Correct answer: C) Participation in the study is voluntary, and you can withdraw at any time without any penalty or loss of benefits you are entitled to outside of the study."
