,Topics,Questions
0,A statement that the study involves research,"Which of the following statements best describes the nature of the activity described in the consent form?
A) A routine medical procedure with no research component
B) A research study aiming to understand the effects of medical cannabis on opioid use and pain
C) A commercial promotion for medical cannabis products
D) A personal survey unrelated to medical research

Correct answer: B) A research study aiming to understand the effects of medical cannabis on opioid use and pain"
1,An explanation of the purposes of the research,"What is the primary goal of the research study described in the consent form?
A) To assess the long-term effects of opioid use on mental health; B) To evaluate the impact of medical cannabis on the reduction of opioid dosage and pain management in chronic pain patients; C) To compare the effectiveness of different opioid medications; D) To study the effects of physical therapy on chronic pain management without medication adjustments

Correct answer: B"
2,The expected duration of the subject's participation,"How long is the total duration of the study that each participant is expected to complete?
A) 3 months; B) 6 months; C) 12 months; D) 24 months
Correct answer: B) 6 months"
3,Any additional costs to the subject that may result from participation in the research,"Which of the following statements is true regarding any additional costs you may incur as a result of participating in this research study?
A) You will be responsible for the cost of medical cannabis used during the study.
B) The study will cover all medical and non-medical costs incurred during the research.
C) You will receive medical cannabis free of charge as part of the study compensation.
D) Insurance will cover all additional costs, including medical cannabis, without any co-payments.

Correct answer: A) You will be responsible for the cost of medical cannabis used during the study."
4,A description of the procedures to be followed,"Which of the following statements accurately describes the procedures that participants will follow in the study?

A) Participants will only be required to attend in-person visits and will not need to complete any questionnaires or interviews.
B) Participants will be asked to complete daily surveys about their pain and medications for the entire duration of the study, which is 6 months.
C) Participants will be randomly assigned to either the active study group or the waitlist control group, with the active group starting medical cannabis immediately and the control group abstaining for the first 6 months.
D) Participants will be provided with medical cannabis certificates as part of the study to facilitate their participation in the medical cannabis program.

Correct answer: C) Participants will be randomly assigned to either the active study group or the waitlist control group, with the active group starting medical cannabis immediately and the control group abstaining for the first 6 months."
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What steps should you take if you decide to withdraw from the study?

A) Contact the study Principal Investigator or Research Coordinator to discuss your decision and ensure a safe withdrawal process.
B) Immediately stop attending study sessions and using medical cannabis without informing the study team.
C) Wait until the end of the study to inform the research team of your decision to withdraw.
D) Continue with all study-related activities until the research team notices your absence.

Correct answer: A"
6,Identification of any procedures which are experimental,"Which aspect of the study is considered experimental for participants?
A) Routine follow-up care with primary care physicians; B) Participation in the Prescription Opioid Tapering Support (POTS) program; C) Use of Medical Cannabis in conjunction with the POTS program; D) Completing questionnaires about physical and mental health

Correct answer: C"
7,The approximate number of subjects involved in the study,"How many participants are expected to enroll in the Prescription Opioid Tapering Support (POTS) study?
A) 100; B) 200; C) 250; D) 300
Correct answer: C) 250"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"Which of the following is a potential risk associated with participating in the study involving medical cannabis and prescription opioid taper support?
A) Increased risk of developing a cannabis use disorder; B) Guaranteed confidentiality breach; C) Immediate increase in opioid dosage; D) Elimination of chronic pain

Correct answer: A) Increased risk of developing a cannabis use disorder"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"Which of the following is a potential benefit of participating in the research study on the use of medical cannabis and prescription opioid taper support for patients with chronic non-cancer pain?

A) Guaranteed elimination of chronic pain
B) Possible reduction in opioid dose and improved pain management
C) Provision of medical cannabis and medical marijuana certificates as part of the study
D) Financial compensation for any injuries incurred during the study

Correct answer: B) Possible reduction in opioid dose and improved pain management"
10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","What are some of the alternative treatments available for chronic pain that participants can consider instead of joining the Prescription Opioid Tapering Support (POTS) program?
A) Cognitive Behavioral Therapy and relaxation techniques; B) Over-the-counter medications, physical therapy, and acupuncture; C) Increased dosage of current opioid medication; D) There are no alternative treatments available

Correct answer: B"
11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","Which of the following statements best describes how your identifiable information will be protected in this research study?
A) Your identifiable information will be shared publicly to promote the study.
B) Your identifiable information will be coded and stored on a password-protected computer, accessible only to the research staff.
C) Your identifiable information will be used for marketing purposes by the study sponsors.
D) All your health information will be shared with third-party advertisers without any encryption.

Correct answer: B"
12,"For research involving more than minimal risk, an explanation as to whether any compensation, and an explanation as to whether any medical treatments are available, if injury occurs and, if so, what they consist of, or where further information may be obtained","If a participant experiences an injury as a result of taking part in this research study, what compensation or medical treatment is available to them according to the consent form?
A) Participants will receive free medical treatment for any injuries sustained during the study.
B) Participants will receive financial compensation specifically for any injuries sustained during the study.
C) Participants will not receive any special compensation for injuries, but medical treatment will be available at the usual charge.
D) The study will cover all costs related to any injuries sustained during the study, including long-term care if needed.

Correct answer: C) Participants will not receive any special compensation for injuries, but medical treatment will be available at the usual charge."
13,"Research, Rights or Injury: An explanation of whom to contact for answers to pertinent questions about the research and research subjects' rights, and whom to contact in the event of a research-related injury to the subject","If you experience an unexpected medical problem during the study, whom should you inform immediately?

A) The Mass General Brigham IRB office;
B) The study's Principal Investigator or the Research Coordinator;
C) Your personal physician;
D) The National Institute on Drug Abuse.

Correct answer: B) The study's Principal Investigator or the Research Coordinator."
14,"A statement that participation is voluntary, refusal to participate will involve no penalty or loss of benefits to which the subject is otherwise entitled, and the subject may discontinue participation at any time without penalty or loss of benefits, to which the subject is otherwise entitled","What will happen if you decide not to participate in the study or if you choose to withdraw from the study at a later time?
A) You will lose access to certain medical treatments.
B) You will face a penalty for withdrawing.
C) Your current or future medical care within the institution will not be affected.
D) You will be required to pay a fee for the time spent in the study.

Correct answer: C) Your current or future medical care within the institution will not be affected."
