,Topics,Questions
0,A statement that the study involves research,"Which of the following statements is true regarding the nature of the activity described in the consent form?
A) The activity is a commercial service offered to the public.
B) The activity is a research study that participants voluntarily join.
C) The activity is a mandatory government program for food purchasing.
D) The activity is a routine check-up with a primary care physician.

Correct answer: B) The activity is a research study that participants voluntarily join."
1,An explanation of the purposes of the research,"What is the primary goal of the mHealth Intervention research study?
A) To evaluate the effectiveness of a new cancer treatment medication
B) To assess the impact of a mobile health intervention on changing food purchasing behaviors for cancer prevention
C) To monitor the long-term effects of dietary supplements on health
D) To provide participants with a new fitness program for weight loss

Correct answer: B"
2,The expected duration of the subject's participation,"How long is the total duration of participation for subjects enrolled in the experimental phase of the mHealth Intervention study?
A) 10 weeks; B) 20 weeks; C) 4 weeks; D) 30 weeks
Correct answer: B) 20 weeks"
3,Any additional costs to the subject that may result from participation in the research,"Which of the following costs is the participant responsible for during the study?
A) Cost of transportation to the research facility
B) Cost of the workshop sessions
C) Cost of smartphone data use incurred from using the program app
D) Cost of the grocery purchases required for the study

Correct answer: C) Cost of smartphone data use incurred from using the program app"
4,A description of the procedures to be followed,"Which of the following statements accurately describes the procedures you will follow if you participate in the mHealth Intervention study for changing food purchasing behaviors for cancer prevention?

A) You will be required to attend a single 60-minute workshop session and receive daily messages through a mobile application for 10 weeks.
B) You will participate in at least three 90-minute workshop sessions conducted over Zoom and receive weekly messages through a mobile application for 20 weeks.
C) You will be asked to attend in-person workshop sessions and will not be required to use any mobile applications throughout the study.
D) You will only need to complete online questionnaires at the beginning and end of the study without any additional workshops or mobile application interactions.

Correct answer: B) You will participate in at least three 90-minute workshop sessions conducted over Zoom and receive weekly messages through a mobile application for 20 weeks."
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will be the impact on your compensation if you choose to withdraw from the study early?
A) You will have to return all compensation received thus far; B) You will receive a reduced compensation based on the amount of participation completed; C) You will still receive the full compensation of $180; D) You will be charged a penalty fee for early withdrawal.

Correct answer: B"
6,Identification of any procedures which are experimental,"Which of the following components of the mHealth intervention is considered experimental in this study?
A) Attending regular check-ups with your primary care physician;
B) Receiving weekly messages through a mobile smartphone application with food purchasing recommendations;
C) Shopping at approved grocery stores using a loyalty card;
D) Using a mobile application that tracks your location to send messages when you enter a grocery store.

Correct answer: D"
7,The approximate number of subjects involved in the study,"How many participants are expected to be enrolled in the mHealth Intervention study for cancer prevention?
A) 20; B) 64; C) 84; D) 100

Correct answer: C) 84"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"Which of the following is a potential risk or discomfort that participants may experience during the ""Optimizing an mHealth Intervention to Change Food Purchasing Behaviors for Cancer Prevention"" study?
A) Risk of severe allergic reactions to food recommendations; B) Feelings of shame or embarrassment related to eating habits; C) Risk of physical injury during workshop sessions; D) Risk of contracting an illness through the Zoom platform

Correct answer: B"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"Which of the following is a potential benefit of participating in the mHealth Intervention study for changing food purchasing behaviors for cancer prevention?

A) Guaranteed weight loss and cancer cure
B) A fixed reduction in grocery bills
C) Possible reduced risk of cancer incidence due to dietary change
D) Automatic enrollment in future research studies without consent

Correct answer: C) Possible reduced risk of cancer incidence due to dietary change"
10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","If you decide not to participate in the mHealth Intervention study, which of the following alternatives could you consider for dietary guidance and potential weight loss?
A) Enroll in a different clinical trial focused on exercise for cancer prevention;
B) Seek advice from a registered dietician or pursue behavioral weight loss treatment;
C) Undergo a surgical procedure for weight management;
D) There are no alternatives available outside of the study.

Correct answer: B"
11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","Which of the following statements best describes how your personal information will be handled in the study ""Optimizing an mHealth Intervention to Change Food Purchasing Behaviors for Cancer Prevention""?

A) Your personal information will be shared publicly on the study's website.
B) Your personal information will be kept confidential, but may be shared with the research sponsor, government agencies, and others overseeing the research.
C) Your personal information will be shared with all participants in the study during the focus group sessions.
D) Your personal information will be sold to third-party marketing agencies for promotional purposes.

Correct answer: B"
12,"For research involving more than minimal risk, an explanation as to whether any compensation, and an explanation as to whether any medical treatments are available, if injury occurs and, if so, what they consist of, or where further information may be obtained","What does the consent form state about compensation in the event of an injury during the study?
A) Participants will receive free medical treatment for any injuries.
B) Participants will receive additional compensation for any injuries.
C) The consent form does not promise free treatment or any other type of payment for injuries.
D) Participants will be covered by a special insurance policy for any study-related injuries.

Correct answer: C) The consent form does not promise free treatment or any other type of payment for injuries."
13,"Research, Rights or Injury: An explanation of whom to contact for answers to pertinent questions about the research and research subjects' rights, and whom to contact in the event of a research-related injury to the subject","If you experience any adverse effects or have concerns about the research study, whom should you contact first?
A) Your personal physician; B) The Institutional Review Board (IRB); C) The principal investigator, Dr. Meghan Butryn; D) The National Cancer Institute (NCI)

Correct answer: C) The principal investigator, Dr. Meghan Butryn"
14,"A statement that participation is voluntary, refusal to participate will involve no penalty or loss of benefits to which the subject is otherwise entitled, and the subject may discontinue participation at any time without penalty or loss of benefits, to which the subject is otherwise entitled","What does the consent form state about your ability to discontinue participation in the study?

A) You may discontinue at any time, but you will lose some benefits.
B) You may discontinue at any time without any penalty or loss of benefits you are entitled to.
C) If you discontinue, you will have to pay a penalty.
D) You cannot discontinue once you have agreed to participate.

Correct answer: B) You may discontinue at any time without any penalty or loss of benefits you are entitled to."
