,Unnamed: 0,Topics,Questions
0,0,A statement that the study involves research,"Which of the following statements best describes the nature of the THUNDER 2 study as outlined in the consent form?
A) The study is a routine medical treatment for rectal cancer without any research components.
B) The study is a commercial survey to understand patient satisfaction with MRI-guided radiotherapy.
C) The study is a medical-scientific research project aimed at improving treatment response rates in rectal cancer using MRI-guided radiotherapy.
D) The study is an observational trial where no treatment will be provided to participants.

Correct answer: C) The study is a medical-scientific research project aimed at improving treatment response rates in rectal cancer using MRI-guided radiotherapy."
1,1,An explanation of the purposes of the research,"What is the primary goal of the THUNDER 2 study?
A) To compare the effectiveness of MRI-guided radiotherapy with traditional chemotherapy; B) To increase the rate of complete response in patients with locally advanced rectal cancer undergoing chemoradiotherapy; C) To evaluate the long-term side effects of radiotherapy in rectal cancer patients; D) To assess the financial costs of MRI-guided radiotherapy compared to standard treatments.

Correct answer: B"
2,2,The expected duration of the subject's participation,"How long is the overall study duration in which the participants will be involved?
A) 1 year; B) 2 years; C) 3 years; D) 5 years
Correct answer: C) 3 years"
3,3,Any additional costs to the subject that may result from participation in the research,"What will be the financial responsibility of the subject in relation to the treatment received during the THUNDER 2 study?
A) Subjects will be responsible for the cost of radiochemotherapy treatment.
B) Subjects will incur additional costs for the imaging and monitoring required by the study.
C) Participation in the trial does not entail any additional costs for the subjects.
D) Subjects will have to pay for any insurance policy adjustments due to participation in the study.

Correct answer: C) Participation in the trial does not entail any additional costs for the subjects."
4,4,A description of the procedures to be followed,"What will happen at the 10th fraction of treatment if you decide to participate in the THUNDER 2 study?
A) You will automatically receive a dose escalation on the disease area.
B) The possibility of performing dose escalation on the disease area alone will be considered, based on an evaluation of the acquired MRI images.
C) You will undergo surgery immediately.
D) Your treatment will be switched from radiochemotherapy to chemotherapy only.

Correct answer: B) The possibility of performing dose escalation on the disease area alone will be considered, based on an evaluation of the acquired MRI images."
5,5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will happen if you choose to withdraw from the THUNDER 2 study at any point?
A) You will be required to reimburse the cost of the treatments received during the study; B) You will be excluded from receiving any standard treatments for your condition; C) You will continue to receive standard care for your condition without any penalty; D) Your medical insurance will be cancelled as a result of your withdrawal.

Correct answer: C"
6,6,Identification of any procedures which are experimental,"Which aspect of the THUNDER 2 study involves an experimental procedure?
A) Standard preoperative radiochemotherapy treatment for locally advanced rectal cancer;
B) Use of MRIdian for standard radiation therapy without any modifications;
C) Dose escalation based on MRI images acquired during treatment to target radioresistant disease areas;
D) Routine endoscopic and radiological examinations for treatment monitoring.

Correct answer: C"
7,7,The approximate number of subjects involved in the study,"How many patients are expected to participate in the THUNDER 2 study?
A) 30; B) 63; C) 80; D) 100
Correct answer: B"
8,8,A description of any reasonably foreseeable risks or discomforts to the subject,"What are the potential early side effects that a participant might experience during or within six months after the radiochemotherapy treatment in the THUNDER 2 study?
A) Increased risk of common cold; B) Altered blood values and skin toxicity; C) Improved skin conditions; D) Decreased sensitivity to sunlight

Correct answer: B) Altered blood values and skin toxicity"
9,9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"Which of the following is a potential benefit to subjects participating in the THUNDER 2 study?
A) Guaranteed cure of rectal cancer
B) Personalized treatment based on imaging during radiotherapy
C) Financial compensation for participation
D) Immediate improvement in quality of life

Correct answer: B) Personalized treatment based on imaging during radiotherapy"
10,10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","What is the standard treatment option if you choose not to participate in the THUNDER 2 study?
A) You will receive a higher dose of radiotherapy without MRI guidance; 
B) You will receive a combination of external radiation therapy with concomitant chemotherapy, followed by surgery after 8-10 weeks;
C) You will be given an alternative experimental drug therapy;
D) You will only receive surgical intervention without any preoperative treatment.

Correct answer: B"
11,11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","Who will have access to your personal data if you participate in the THUNDER 2 study, and how will your identity be protected in publications?
A) Only the principal investigator and no one else; B) Regulatory authorities, medical personnel involved in the study, and the principal investigator, with your identity remaining confidential in publications; C) All hospital staff and the general public; D) Only the insurance company providing the policy for the study.

Correct answer: B) Regulatory authorities, medical personnel involved in the study, and the principal investigator, with your identity remaining confidential in publications."
12,12,"For research involving more than minimal risk, an explanation as to whether any compensation, and an explanation as to whether any medical treatments are available, if injury occurs and, if so, what they consist of, or where further information may be obtained","What does the informed consent form state regarding compensation in the event of injury during the THUNDER 2 study?
A) Participants will receive a fixed compensation for any injury.
B) Participants will not receive any compensation for injuries sustained.
C) The facility and investigators have an insurance policy to cover damages resulting from the trial.
D) Participants must cover the costs of any injuries themselves.

Correct answer: C) The facility and investigators have an insurance policy to cover damages resulting from the trial."
13,13,"Research, Rights or Injury: An explanation of whom to contact for answers to pertinent questions about the research and research subjects' rights, and whom to contact in the event of a research-related injury to the subject","If you experience any unintended effects during the study, whom should you contact for assistance or to report the incident?
A) The Ethics Committee of the institution; B) The principal investigator or the study staff; C) Your personal insurance company; D) An independent witness

Correct answer: B) The principal investigator or the study staff"
14,14,"A statement that participation is voluntary, refusal to participate will involve no penalty or loss of benefits to which the subject is otherwise entitled, and the subject may discontinue participation at any time without penalty or loss of benefits, to which the subject is otherwise entitled","What will happen if you choose not to participate in the THUNDER 2 study?
A) You will not receive any standard therapies for your condition.
B) You will receive standard therapies for your condition without any penalty.
C) You will be required to pay additional costs for your standard treatment.
D) Your refusal to participate will result in a loss of benefits you are entitled to.

Correct answer: B) You will receive standard therapies for your condition without any penalty."
