,Topics,Questions
0,A statement that the study involves research,"Which of the following statements is true regarding the nature of the ""Connecting Families to Overcome Ovarian Cancer"" study?

A) The study is a commercial service offering genetic counseling for a fee.
B) The study is a research project funded by the National Cancer Institute.
C) The study is a routine medical check-up provided by Emory University.
D) The study is a personal development program unrelated to medical research.

Correct answer: B) The study is a research project funded by the National Cancer Institute."
1,An explanation of the purposes of the research,"What is the primary goal of the ""Connecting Families to Overcome Ovarian Cancer Study""?
A) To provide free medication to ovarian cancer survivors; B) To offer free genetic counseling to ovarian cancer survivors and their close relatives; C) To conduct genetic testing on all participants; D) To collect data for a new ovarian cancer treatment drug trial

Correct answer: B"
2,The expected duration of the subject's participation,"How long is the expected duration of the genetic counseling session offered in the ""Connecting Families to Overcome Ovarian Cancer Study""?
A) 30 to 45 minutes
B) 1 to 1.5 hours
C) 2 to 3 hours
D) Less than 30 minutes

Correct answer: B) 1 to 1.5 hours"
3,Any additional costs to the subject that may result from participation in the research,"What will be the financial responsibility of participants for the genetic counseling provided in the ""Connecting Families to Overcome Ovarian Cancer Study""?

A) Participants will be responsible for the full cost of genetic counseling.
B) Participants will be charged a reduced fee for genetic counseling.
C) There are no costs to participants for the genetic counseling provided in the study.
D) Participants will need to cover the cost of any follow-up treatments after genetic counseling.

Correct answer: C) There are no costs to participants for the genetic counseling provided in the study."
4,A description of the procedures to be followed,"How will the genetic counseling session for the ""Connecting Families to Overcome Ovarian Cancer Study"" be conducted?

A) In-person at Emory University
B) Via telephone call
C) Through Zoom video conferencing
D) By email correspondence

Correct answer: C) Through Zoom video conferencing"
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will happen if you choose to withdraw from the ""Connecting Families to Overcome Ovarian Cancer Study"" at any point?
A) You will be required to pay for the genetic counseling services you received; B) Your current or future medical care or benefits will be negatively impacted; C) Your decision to withdraw will not affect your current or future medical care or any benefits to which you are otherwise entitled; D) You will be obligated to participate in future research studies as a result of withdrawing.

Correct answer: C"
6,Identification of any procedures which are experimental,"Which aspect of the ""Connecting Families to Overcome Ovarian Cancer"" study is considered experimental?
A) Standard genetic counseling sessions provided by healthcare institutions;
B) The use of Zoom video conferencing for hosting genetic counseling sessions;
C) The provision of free genetic counseling funded by the National Cancer Institute;
D) Recording genetic counseling sessions for research purposes and analyzing the anonymized data.

Correct answer: D"
7,The approximate number of subjects involved in the study,"How many participants is the ""Connecting Families to Overcome Ovarian Cancer"" study planning to enroll?
A) 50; B) 100; C) 150; D) The number of participants is not specified in the consent form.
Correct answer: D"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"What are the potential risks or discomforts that participants might experience during the ""Connecting Families to Overcome Ovarian Cancer Study""?
A) Physical side effects from medications used during the study; B) Emotional distress from discussing personal and family cancer risks; C) Financial costs associated with the genetic counseling session; D) Risk of personal data being shared publicly during the study.

Correct answer: B) Emotional distress from discussing personal and family cancer risks."
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"What are the potential benefits of participating in the ""Connecting Families to Overcome Ovarian Cancer Study""?

A) Participants may receive financial compensation for their time and any discomfort experienced during the genetic counseling session.
B) Participants and their close relatives can gain a better understanding of genetic contributions to cancer risk, which may influence treatment and prevention strategies.
C) Participants will be provided with a lifetime supply of medications for any genetic conditions discovered during counseling.
D) Participants will receive a comprehensive health insurance plan to cover any conditions discovered during genetic counseling.

Correct answer: B"
10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","If you decide not to participate in the ""Connecting Families to Overcome Ovarian Cancer Study"" for genetic counseling, what alternative options are available to you?
A) You will be required to pay for private genetic counseling; B) You can choose not to schedule the counseling session and this will not affect your current or future medical care; C) You will be automatically enrolled in a different study; D) There are no alternative options available outside of the study.

Correct answer: B"
11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","How will your participation in the ""Connecting Families to Overcome Ovarian Cancer Study"" be kept confidential?

A) Your name and other identifying information will be published along with the study results.
B) Recorded sessions will be made publicly available for educational purposes.
C) Recorded sessions will be stored on Emory password-protected, research network drives and deleted at the end of the study.
D) All participants' personal information will be shared with third-party marketing agencies.

Correct answer: C"
12,"For research involving more than minimal risk, an explanation as to whether any compensation, and an explanation as to whether any medical treatments are available, if injury occurs and, if so, what they consist of, or where further information may be obtained","What does the consent form state about compensation for participants if they experience discomfort or injury as a result of the genetic counseling session?

A) Participants will receive financial compensation for any discomfort or injury.
B) Participants will not receive any compensation for discomfort or injury.
C) Participants may be eligible for medical treatments at no cost if they experience injury.
D) The consent form does not specify any details about compensation or medical treatments for injury.

Correct answer: B) Participants will not receive any compensation for discomfort or injury."
13,"Research, Rights or Injury: An explanation of whom to contact for answers to pertinent questions about the research and research subjects' rights, and whom to contact in the event of a research-related injury to the subject","If you have concerns about your participation in the study or wish to discuss issues related to the research with someone outside of the research team, whom should you contact?

A) The National Cancer Institute; B) The Emory Institutional Review Board; C) The Principal Investigator's personal assistant; D) Your personal healthcare provider

Correct answer: B) The Emory Institutional Review Board"
14,"A statement that participation is voluntary, refusal to participate will involve no penalty or loss of benefits to which the subject is otherwise entitled, and the subject may discontinue participation at any time without penalty or loss of benefits, to which the subject is otherwise entitled","What will happen if you decide not to participate in the genetic counseling session offered by the ""Connecting Families to Overcome Ovarian Cancer Study""?

A) You will lose access to certain medical care benefits.
B) You will not be able to receive any genetic counseling in the future.
C) Your decision will have no impact on your current or future medical care or benefits.
D) You will be required to pay a fee for not participating.

Correct answer: C"
