,Topics,Questions
0,A statement that the study involves research,"Which of the following statements is true regarding the nature of the study described in the consent form?
A) The study is a routine medical treatment, not a research study.
B) The study is a research study designed to evaluate a new treatment combination for malignant mesothelioma.
C) The study is a commercial product trial with no research components.
D) The study is a personal interview series without any medical or research procedures.

Correct answer: B) The study is a research study designed to evaluate a new treatment combination for malignant mesothelioma."
1,An explanation of the purposes of the research,"What is the primary goal of the research study described in the consent form?
A) To evaluate the effectiveness of a new physical therapy program for mesothelioma patients; B) To determine the best surgical techniques for mesothelioma treatment; C) To find a safe dose of LMB-100 in combination with ipilimumab for treating malignant mesothelioma; D) To test the efficacy of standard chemotherapy alone in mesothelioma patients

Correct answer: C"
2,The expected duration of the subject's participation,"What is the expected duration of a participant's involvement in the study?
A) Until the participant decides to withdraw; B) For a fixed period of 6 months; C) For the rest of the participant's life; D) For a duration of 1 year
Correct answer: C) For the rest of the participant's life"
3,Any additional costs to the subject that may result from participation in the research,"Which of the following statements is true regarding any additional costs you may incur as a result of participating in this study?
A) You will be responsible for all medical costs associated with the study.
B) The NIH will cover all costs, including travel and lodging, without any need for reimbursement.
C) You may have to pay for some tests and procedures performed outside the NIH Clinical Center.
D) Participation in this study will result in significant out-of-pocket expenses for all medical procedures.

Correct answer: C) You may have to pay for some tests and procedures performed outside the NIH Clinical Center."
4,A description of the procedures to be followed,"Which of the following statements accurately describes the procedure for administering LMB-100 in the study?

A) LMB-100 is administered orally once a day for the duration of the study.
B) LMB-100 is injected into the tumor(s) on days one and four of one 21-day cycle, requiring an approximately 8-day hospital stay each time.
C) LMB-100 is given as a continuous intravenous infusion over a period of 21 days without the need for hospitalization.
D) LMB-100 is self-administered by the patient at home with weekly check-ins at the study site.

Correct answer: B) LMB-100 is injected into the tumor(s) on days one and four of one 21-day cycle, requiring an approximately 8-day hospital stay each time."
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What should you expect if you choose to withdraw from the study at any time?
A) You will be required to pay for all study-related expenses incurred up to the point of withdrawal; B) You may be asked to undergo certain tests to ensure it is safe for you to stop the treatment; C) You will lose access to all medical services provided by the NIH; D) You will be obligated to continue participating in other unrelated studies.

Correct answer: B"
6,Identification of any procedures which are experimental,"Which of the following procedures is considered experimental in the context of this study?
A) Standard chemotherapy for malignant mesothelioma; B) Intratumor injection of LMB-100 combined with systemic administration of ipilimumab; C) Routine blood and urine tests; D) CT scans or MRIs to monitor tumor size

Correct answer: B"
7,The approximate number of subjects involved in the study,"How many participants are expected to be enrolled in the Phase I Study of Intratumor Injection of anti-Mesothelin Immunotoxin LMB-100 with Ipilimumab in Malignant Mesothelioma?
A) 10; B) 14; C) 20; D) 25
Correct answer: B"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"Which of the following is a potential risk or discomfort associated with participating in the Phase I Study of Intratumor Injection of anti-Mesothelin Immunotoxin LMB-100 with Ipilimumab in Malignant Mesothelioma?
A) Temporary loss of hair color; B) Increased risk of common cold; C) Kidney damage that may require dialysis; D) Enhanced sense of taste

Correct answer: C) Kidney damage that may require dialysis"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"Which of the following statements best describes the potential benefits of participating in the Phase I Study of Intratumor Injection of anti-Mesothelin Immunotoxin LMB-100 with Ipilimumab in Malignant Mesothelioma?
A) Participants will definitely experience a reduction in tumor size and symptoms.
B) Participants will receive financial compensation for the reduction of their tumor size.
C) Participants may potentially experience shrinking of their tumor or a decrease in symptoms caused by the cancer, although this is not guaranteed.
D) Participants will benefit from the study by receiving FDA-approved treatment for malignant mesothelioma.

Correct answer: C) Participants may potentially experience shrinking of their tumor or a decrease in symptoms caused by the cancer, although this is not guaranteed."
