,Topics,Questions
0,A statement that the study involves research,"Which of the following statements best describes the nature of the INSIGHT study as detailed in the consent form?
A) The study is a routine medical check-up with no research components.
B) The study is a commercial survey to assess patient satisfaction with hospital services.
C) The study is a research trial investigating the effectiveness of chemotherapy versus endocrine therapy in HR+ metastatic breast cancer.
D) The study is a non-research educational program about breast cancer awareness.

Correct answer: C) The study is a research trial investigating the effectiveness of chemotherapy versus endocrine therapy in HR+ metastatic breast cancer."
1,An explanation of the purposes of the research,"What is the primary goal of the INSIGHT research study?
A) To compare the effectiveness of physical therapy versus chemotherapy in breast cancer patients; B) To determine if early chemotherapy can prevent tumor growth better than standard endocrine therapy in HR+ metastatic breast cancer; C) To test the efficacy of a new surgical procedure for breast cancer; D) To evaluate the impact of dietary changes on breast cancer progression

Correct answer: B"
2,The expected duration of the subject's participation,"For how long will participants be expected to undergo wellness checks after stopping the treatment in this study?
A) Up to 1 year; B) Up to 2 years; C) Up to 5 years; D) Indefinitely

Correct answer: C) Up to 5 years"
3,Any additional costs to the subject that may result from participation in the research,"Which of the following statements is true regarding the costs to the subject for participating in the INSIGHT study?

A) Subjects will be compensated for their time and any expenses incurred during the study.
B) Subjects will be responsible for the costs of treatments and tests that are part of their usual cancer care, which will be billed to them or their insurance.
C) Subjects will have to pay for the research-only procedures such as research blood tests and patient surveys.
D) Subjects will be billed for all medical care, including treatments and tests that are being done only for research purposes.

Correct answer: B) Subjects will be responsible for the costs of treatments and tests that are part of their usual cancer care, which will be billed to them or their insurance."
4,A description of the procedures to be followed,"What is the correct sequence of procedures a participant will undergo after being confirmed eligible for the INSIGHT study?

A) Randomization into study groups, treatment with either endocrine-based therapy or chemotherapy, regular clinical exams, and blood tests.
B) Treatment with chemotherapy only, followed by randomization into study groups, and then regular clinical exams.
C) Initial tumor test to determine Luminal A or non-Luminal A status, followed by randomization, treatment, and regular clinical exams and blood tests.
D) Regular clinical exams and blood tests, followed by treatment with endocrine-based therapy, and then randomization into study groups.

Correct answer: C) Initial tumor test to determine Luminal A or non-Luminal A status, followed by randomization, treatment, and regular clinical exams and blood tests."
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What should you do if you decide to withdraw from the INSIGHT study, and how will it affect your future medical care?

A) You must continue in the study until it is completed; otherwise, you will lose access to all medical care at Vanderbilt University Medical Center.
B) You should inform your study doctor about your decision to withdraw, and your standard medical care will continue without any penalties.
C) Withdrawing from the study will result in a financial penalty, and you will be billed for all study-related treatments received up to that point.
D) If you withdraw from the study, you will not be allowed to participate in any other clinical trials in the future.

Correct answer: B"
6,Identification of any procedures which are experimental,"Which of the following treatments being studied in the INSIGHT research is considered experimental for the treatment of non-luminal A hormone receptor-positive (HR+) metastatic breast cancer?
A) Standard endocrine therapy as chosen by your doctor
B) Capecitabine chemotherapy after tumors have grown on endocrine therapy
C) Capecitabine chemotherapy as an initial treatment option
D) Routine blood tests for organ function and safety

Correct answer: C"
7,The approximate number of subjects involved in the study,"How many participants will be enrolled in the INSIGHT study for the treatment of HR+ metastatic breast cancer?
A) 50 participants; B) 100 participants; C) 150 participants; D) The number of participants is not specified in the consent form.
Correct answer: D) The number of participants is not specified in the consent form."
8,A description of any reasonably foreseeable risks or discomforts to the subject,"Which of the following is a potential risk or discomfort associated with participating in the INSIGHT study?

A) Temporary discomfort from blood sample collection
B) Permanent hair loss due to chemotherapy
C) Immediate cure of the metastatic breast cancer
D) Guaranteed financial compensation for participation

Correct answer: A"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"What are the potential benefits of participating in the INSIGHT study for individuals with HR+ metastatic breast cancer?

A) Participants may receive a new, experimental treatment that is not yet FDA-approved for any condition.
B) Participants may contribute to medical knowledge that could improve treatment options for future patients with a similar type of breast cancer.
C) Participants will receive financial compensation for contributing to the advancement of breast cancer treatment.
D) Participants are guaranteed to have their breast cancer cured by the end of the study.

Correct answer: B) Participants may contribute to medical knowledge that could improve treatment options for future patients with a similar type of breast cancer."
10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","If you decide not to participate in the INSIGHT study, what alternative treatment options are available to you?
A) You may receive a different type of chemotherapy not mentioned in the study; B) You will be offered the standard endocrine-based therapy for your condition; C) You will not receive any treatment for your metastatic breast cancer; D) You will be enrolled in a different research study automatically.

Correct answer: B"
