,Topics,Questions
0,A statement that the study involves research,"Which of the following statements best describes the nature of the activity you are being asked to participate in according to the consent form?
A) A routine medical check-up with your local healthcare provider.
B) A research study focused on improving survivorship care for rural cancer survivors.
C) A commercial survey to assess customer satisfaction with healthcare services.
D) A voluntary social group meeting for discussing personal experiences.

Correct answer: B) A research study focused on improving survivorship care for rural cancer survivors."
1,An explanation of the purposes of the research,"What is the primary goal of the research study titled ""Expanding Rural Health Cancer Control Capacity: Focus on Cancer Survivorship""?

A) To evaluate the effectiveness of new cancer treatment medications for rural patients;
B) To assess the impact of a telehealth survivorship care plan combined with patient navigator assistance on rural cancer survivors;
C) To compare the outcomes of urban versus rural cancer survivors without any intervention;
D) To provide financial assistance to rural cancer survivors for their medical expenses.

Correct answer: B"
2,The expected duration of the subject's participation,"How long is the expected total duration of participation for each subject in the study?
A) Approximately 3 months; B) Approximately 6 months; C) Approximately 1 year; D) Approximately 2 weeks

Correct answer: A) Approximately 3 months"
3,Any additional costs to the subject that may result from participation in the research,"Which of the following statements is true regarding any additional costs to the subject for participating in the research study ""Expanding Rural Health Cancer Control Capacity: Focus on Cancer Survivorship""?

A) Participants will be charged for the telehealth visits and surveys they complete as part of the study.
B) Participants may incur additional costs for any treatments or services they receive outside of the study.
C) Participants will be provided a $25 gift card for completing an interview and/or focus group, which may offset some incidental costs.
D) There are significant costs associated with the use of telehealth services provided in the study.

Correct answer: C) Participants will be provided a $25 gift card for completing an interview and/or focus group, which may offset some incidental costs."
4,A description of the procedures to be followed,"Which of the following is a procedure that participants will undergo as part of the study?

A) Participants will be required to attend weekly in-person meetings at the research facility.
B) Participants will complete a baseline survey and a post-intervention survey, as well as potentially participate in a telehealth visit and an end-of-study interview or focus group.
C) Participants will undergo a series of medical tests at their local hospital every month.
D) Participants will be asked to provide a genetic sample for analysis.

Correct answer: B) Participants will complete a baseline survey and a post-intervention survey, as well as potentially participate in a telehealth visit and an end-of-study interview or focus group."
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will occur if you choose to withdraw from the study at any point?
A) You will be required to continue participating until the study is completed; B) You will be asked to pay a fee for withdrawing; C) Your existing data will be removed from the study and no further data will be collected; D) Your participation will end, but the data already collected will be retained for the study. 

Correct answer: D"
6,Identification of any procedures which are experimental,"Which aspect of the study is considered experimental for the participants?
A) Completing a baseline survey about their cancer experience;
B) Receiving standard cancer treatment and follow-up care;
C) Participating in a telehealth visit with a nurse practitioner and a research nurse to receive a personalized survivorship care plan;
D) Being provided with a $25 gift card for completing an interview or focus group at the end of the study.

Correct answer: C"
7,The approximate number of subjects involved in the study,"How many participants will be selected for an end-of-study interview and/or focus group?
A) 5; B) 10; C) 15; D) Up to 20
Correct answer: D"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"What are the potential risks or discomforts that participants might encounter in this study?
A) Risk of physical side effects from medication; B) Risk of accidental release of confidential information; C) Risk of injury during physical activities; D) Risk of transportation to the study site

Correct answer: B"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"Which of the following is a potential benefit to participants in the ""Expanding Rural Health Cancer Control Capacity: Focus on Cancer Survivorship"" study?
A) Guaranteed improvement in physical health
B) Receipt of a personalized survivorship care plan and assistance from a patient navigator
C) A $25 gift card for completing the baseline survey
D) Immediate access to new cancer treatments

Correct answer: B) Receipt of a personalized survivorship care plan and assistance from a patient navigator"
10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","If you choose not to participate in this research study, what alternative options are available to you?
A) You may continue with your current healthcare plan without any changes; B) You will be required to participate in a different research study; C) You will not receive any further cancer survivorship care; D) You will lose access to your current healthcare services.

Correct answer: A"
11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","How will the study team protect your confidential information?
A) By publishing all participant data online for transparency;
B) By storing data in a public database without password protection;
C) By limiting access to Personal Health Information (PHI) and de-identifying research data stored in a secure, password-protected database;
D) By sharing participant information with all study sponsors without restrictions.

Correct answer: C) By limiting access to Personal Health Information (PHI) and de-identifying research data stored in a secure, password-protected database."
12,"For research involving more than minimal risk, an explanation as to whether any compensation, and an explanation as to whether any medical treatments are available, if injury occurs and, if so, what they consist of, or where further information may be obtained","What compensation is provided to participants who complete an interview and/or focus group as part of this study?
A) A $50 gift card
B) A $25 gift card
C) Reimbursement for medical expenses
D) No compensation is provided

Correct answer: B) A $25 gift card"
13,"Research, Rights or Injury: An explanation of whom to contact for answers to pertinent questions about the research and research subjects' rights, and whom to contact in the event of a research-related injury to the subject","If you experience any discomfort or have concerns about your rights as a participant during the study, whom should you contact?

A) The study sponsor; B) The principal investigator, Dr. Debra Friedman; C) A healthcare attorney; D) Your insurance provider

Correct answer: B) The principal investigator, Dr. Debra Friedman"
14,"A statement that participation is voluntary, refusal to participate will involve no penalty or loss of benefits to which the subject is otherwise entitled, and the subject may discontinue participation at any time without penalty or loss of benefits, to which the subject is otherwise entitled","What does the consent form say about your ability to withdraw from the study?

A) You may withdraw at any time, but your data will not be removed from the study.
B) Withdrawing from the study will result in a loss of healthcare benefits.
C) Participation is mandatory once consent is given.
D) You will face penalties if you decide to stop participating in the study.

Correct answer: A) You may withdraw at any time, but your data will not be removed from the study."
