,Topics,Questions
0,A statement that the study involves research,"Which of the following statements best describes the nature of the study described in the consent form?
A) The study is a routine medical check-up with no research components.
B) The study is a commercial product trial for a new infant formula.
C) The study is a research project investigating the integration of smoking cessation and breastfeeding programs.
D) The study is a non-research based public health initiative for new mothers.

Correct answer: C) The study is a research project investigating the integration of smoking cessation and breastfeeding programs."
1,An explanation of the purposes of the research,"What is the primary goal of the Integrated smoking cessation and breastfeeding program research study?
A) To evaluate the effectiveness of new infant formulas; B) To assess the impact of prenatal vitamins on child development; C) To promote smoking abstinence and breastfeeding and assess their effects on maternal and child health; D) To study the psychological impact of parenting classes on new mothers

Correct answer: C"
2,The expected duration of the subject's participation,"For how long will participants be involved in the Integrated smoking cessation and breastfeeding program study?
A) Up to 12 months postpartum; B) Up to 18 months postpartum; C) Up to 24 months postpartum; D) Throughout pregnancy only
Correct answer: B) Up to 18 months postpartum"
3,Any additional costs to the subject that may result from participation in the research,"Which of the following statements is true regarding additional costs to the subject in the Integrated smoking cessation and breastfeeding program study?
A) Subjects will be responsible for the costs of medical procedures and tests related to the study.
B) Subjects will incur additional costs for participating in the study, which are not covered by the study compensation.
C) There are no additional costs to the subjects for participating in the study, and any study-related procedures will be covered by the study funds.
D) Subjects will need to pay for the transportation to the study site for each visit.

Correct answer: C) There are no additional costs to the subjects for participating in the study, and any study-related procedures will be covered by the study funds."
4,A description of the procedures to be followed,"Which of the following best describes the procedures that participants will undergo during the Integrated smoking cessation and breastfeeding program study?

A) Participants will only complete surveys at the beginning and end of the study.
B) Participants will be asked to complete various surveys and attend intervention visits both prenatally and postpartum, including mother-infant interaction observations.
C) Participants will be required to attend daily clinic visits for the duration of the study.
D) Participants will only be involved in the study during their pregnancy and not postpartum.

Correct answer: B) Participants will be asked to complete various surveys and attend intervention visits both prenatally and postpartum, including mother-infant interaction observations."
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"If you decide to withdraw from the Integrated smoking cessation and breastfeeding program study, what will be the impact on your medical care at the institution?
A) You will be charged a penalty fee for withdrawing; 
B) Your current or future care at the institution will not be affected, and you will not lose any benefits to which you are entitled; 
C) You will be prohibited from participating in any other research studies at the institution; 
D) Your medical records will be flagged, preventing you from receiving standard medical care.

Correct answer: B"
6,Identification of any procedures which are experimental,"Which of the following interventions is considered experimental in the Integrated smoking cessation and breastfeeding program study?
A) Standard prenatal care and postpartum follow-up;
B) Referral to the New York State Smokers' Quitline and the Special Supplemental Nutrition Program for Women, Infants, and Children (WIC);
C) The integrated intervention of smoking cessation and breastfeeding, including education, counseling, monitoring, feedback, and contingent incentives;
D) Observations of mother-infant interactions during free play in the clinic.

Correct answer: C"
7,The approximate number of subjects involved in the study,"How many participants are expected to take part in the Integrated smoking cessation and breastfeeding program study?
A) 20; B) 40; C) 80; D) 100
Correct answer: C) 80"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"Which of the following is a potential risk or discomfort that participants may experience in the Integrated smoking cessation and breastfeeding program study?
A) Increased risk of developing gestational diabetes; B) Pain and engorgement during breastfeeding; C) Risk of severe allergic reactions to study materials; D) Risk of data being shared with commercial third parties without consent

Correct answer: B) Pain and engorgement during breastfeeding"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"Which of the following is a potential benefit of participating in the Integrated smoking cessation and breastfeeding program research study?
A) Guaranteed improvement in maternal and infant health
B) Direct medical benefits to the participant
C) Contribution to scientific knowledge that may inform clinical practices and public health policy
D) Free medical treatment for the duration of the study

Correct answer: C) Contribution to scientific knowledge that may inform clinical practices and public health policy"
