,Unnamed: 0,Topics,Questions
0,0,A statement that the study involves research,"Which of the following statements best describes the nature of ""Estudio Oportunidad"" as outlined in the informed consent form?
A) It is a routine medical check-up for women living with HIV.
B) It is a research study comparing cervical cancer screening methods among women living with HIV.
C) It is a commercial promotion for new medical devices.
D) It is a compulsory government health screening program for the general population.

Correct answer: B) It is a research study comparing cervical cancer screening methods among women living with HIV."
1,1,An explanation of the purposes of the research,"What is the primary goal of the Estudio Oportunidad research study?
A) To assess the effectiveness of a new HIV treatment; B) To compare different cervical cancer screening methods among women living with HIV; C) To provide free HIV care services; D) To evaluate the impact of diet on HPV infection rates.
Correct answer: B"
2,2,The expected duration of the subject's participation,"How long is the expected duration of participation for each subject in the Estudio Oportunidad study?
A) 1 year; B) 2 years; C) 3 years; D) 5 years
Correct answer: B) 2 years"
3,3,Any additional costs to the subject that may result from participation in the research,"Which of the following statements is true regarding any additional costs to the subject for participating in the Estudio Oportunidad research study?
A) Participants will have to pay for the cervical cancer screening tests provided during the study.
B) Participants will be responsible for any medical costs incurred for care received outside of the study.
C) There are no costs associated with participating in the study, and all medical treatments are provided free of charge.
D) Participants will be charged for the transportation to and from the study site for each visit.

Correct answer: B) Participants will be responsible for any medical costs incurred for care received outside of the study."
4,4,A description of the procedures to be followed,"Which of the following procedures will participants undergo during their first visit to IDCP for the Estudio Oportunidad study?
A) A physical fitness test and a hearing exam
B) A pelvic exam, cervical provider-sampling, and an interview about personal health history
C) A vision test and a chest X-ray
D) A dental check-up and a bone density scan

Correct answer: B) A pelvic exam, cervical provider-sampling, and an interview about personal health history"
5,5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will happen if you choose to withdraw from the Estudio Oportunidad study?
A) You will be required to reimburse the cost of the study visits you have attended;
B) You will no longer be able to access HIV care services at SAI;
C) You may stop participating at any time and it will not affect your ability to receive free HIV care at SAI;
D) You will be obligated to participate in future unrelated studies as a condition of your withdrawal.

Correct answer: C"
6,6,Identification of any procedures which are experimental,"Which of the following procedures in the Estudio Oportunidad study is considered experimental?
A) Standard Pap smear for cervical cancer screening; B) HPV testing using a cervical sample collected by study doctors; C) Use of digital images of the cervix to build a computer program for detecting cervical changes; D) Blood tests to check HIV viral load and CD4 count

Correct answer: C"
7,7,The approximate number of subjects involved in the study,"How many women living with HIV will be enrolled in the Estudio Oportunidad study?
A) 200; B) 400; C) 600; D) 800
Correct answer: C) 600"
8,8,A description of any reasonably foreseeable risks or discomforts to the subject,"Which of the following is a potential risk or discomfort that participants may experience during the 'Estudio Oportunidad' study?
A) Severe allergic reactions to the HPV vaccine; B) Mild pain or discomfort from thermal ablation treatment; C) Long-term hospitalization due to study procedures; D) Permanent scarring from blood draws

Correct answer: B"
9,9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"Which of the following is a potential benefit of participating in the Estudio Oportunidad research study?
A) Guaranteed prevention of cervical cancer
B) Receiving a financial reward for each completed study visit
C) Access to three free comprehensive cervical cancer screening exams over two years
D) Automatic enrollment in future research studies without consent

Correct answer: C) Access to three free comprehensive cervical cancer screening exams over two years"
10,10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","If you decide not to participate in the Estudio Oportunidad study, what alternative cervical cancer screening option is available to you?
A) You can receive a standard cervical screening using a mammogram; 
B) You can access a Pap smear for screening of cervical cancer through the Servicio Nacional de Salud (SNS) or with a provider of your choice;
C) There are no alternative screening options available outside of the study;
D) You will be provided with a home testing kit for cervical cancer screening.

Correct answer: B"
11,11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","Which of the following statements best describes how your personal health information will be protected in the Estudio Oportunidad study?
A) Your personal health information will be publicly available to anyone who wishes to see it.
B) Your personal health information will be coded with a unique number and kept confidential, with access limited to authorized study personnel and certain organizations.
C) Your personal health information will be shared with all participants in the study for transparency.
D) Your personal health information will be stored without any protective measures or confidentiality.

Correct answer: B"
12,12,"For research involving more than minimal risk, an explanation as to whether any compensation, and an explanation as to whether any medical treatments are available, if injury occurs and, if so, what they consist of, or where further information may be obtained","If you experience an injury as a result of participating in the Estudio Oportunidad study, which of the following statements is true regarding compensation for medical treatment?
A) You will receive a fixed compensation amount for any injury sustained during the study.
B) Medical costs for treatment will be covered by the national health insurance or internal social assistance programs specific to the hospital.
C) The study will provide unlimited compensation for all medical and non-medical expenses related to the injury.
D) No medical treatment or compensation is available for injuries related to study participation.

Correct answer: B) Medical costs for treatment will be covered by the national health insurance or internal social assistance programs specific to the hospital."
13,13,"Research, Rights or Injury: An explanation of whom to contact for answers to pertinent questions about the research and research subjects' rights, and whom to contact in the event of a research-related injury to the subject","If you experience an injury related to your participation in the Estudio Oportunidad, whom should you contact immediately for assistance?

A) Your personal physician;
B) Dr. Yeycy Donastorg or Dr. Flavia Lantigua;
C) The nearest emergency room;
D) The study financial sponsor, the US National Cancer Institute (NCI).

Correct answer: B) Dr. Yeycy Donastorg or Dr. Flavia Lantigua;"
14,14,"A statement that participation is voluntary, refusal to participate will involve no penalty or loss of benefits to which the subject is otherwise entitled, and the subject may discontinue participation at any time without penalty or loss of benefits, to which the subject is otherwise entitled","What does the consent form state about your ability to withdraw from the Estudio Oportunidad study?

A) You may withdraw at any time, but you will lose access to free HIV care at SAI.
B) You may withdraw at any time, and this will not affect your access to free HIV care at SAI.
C) You are not allowed to withdraw once you have agreed to participate in the study.
D) Withdrawing from the study will result in a penalty fee.

Correct answer: B) You may withdraw at any time, and this will not affect your access to free HIV care at SAI."
