,Topics,Questions
0,A statement that the study involves research,"Which of the following statements is true regarding the nature of the study described in the consent form?
A) The study is a non-research commercial product trial.
B) The study is a routine medical treatment not involving research.
C) The study is a Phase I clinical research trial.
D) The study is a personal health assessment with no research component.

Correct answer: C) The study is a Phase I clinical research trial."
1,An explanation of the purposes of the research,"What is the primary goal of the research study titled ""A Phase I Study of Duvelisib in Combination with BMS-986345 in Lymphoid Malignancy""?
A) To provide standard care for lymphoid malignancy patients; B) To evaluate the long-term effects of Duvelisib on fertility; C) To determine the safe dosage and assess the safety and effectiveness of Duvelisib combined with BMS-986345; D) To compare the effectiveness of Duvelisib against other standard cancer treatments

Correct answer: C"
2,The expected duration of the subject's participation,"How long is each participant expected to be involved in the ""A Phase I Study of Duvelisib in Combination with BMS-986345 in Lymphoid Malignancy"" research study?
A) 12 months; B) 24 months; C) 18 months; D) 30 months
Correct answer: B) 24 months"
3,Any additional costs to the subject that may result from participation in the research,"Which of the following statements is true regarding potential costs for the subject participating in the ""A Phase I Study of Duvelisib in Combination with BMS-986345 in Lymphoid Malignancy"" research study?
A) Subjects will be responsible for all medical costs incurred during the study.
B) The study sponsor will cover all costs, including routine management of the subject's disease.
C) Subjects may incur costs for routine management of their disease, which are not covered by the study sponsor.
D) Subjects will receive a stipend to cover any additional costs resulting from participation in the study.

Correct answer: C) Subjects may incur costs for routine management of their disease, which are not covered by the study sponsor."
4,A description of the procedures to be followed,"How long is each study treatment cycle in the study where you will receive the study drug combination?

A) 14 days
B) 21 days
C) 28 days
D) 30 days

Correct answer: C) 28 days"
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will happen if you choose to withdraw from the study at any time?
A) You will be required to pay a penalty fee for early withdrawal; B) You will be obligated to continue the study treatments without monitoring; C) You will be able to stop participating without any penalties or loss of benefits; D) You will be banned from receiving any further treatment at Moffitt Cancer Center.

Correct answer: C"
6,Identification of any procedures which are experimental,"Which of the following treatments being studied is considered experimental in this clinical research study?
A) Standard chemotherapy for lymphoid malignancy; B) The combination of duvelisib and BMS-986345; C) Routine blood tests for health monitoring; D) Regular physical exams and vital sign checks

Correct answer: B) The combination of duvelisib and BMS-986345"
7,The approximate number of subjects involved in the study,"How many participants are expected to be enrolled in the ""A Phase I Study of Duvelisib in Combination with BMS-986345 in Lymphoid Malignancy""?
A) 15; B) 30; C) 45; D) 60

Correct answer: B) 30"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"Which of the following is a potential risk or discomfort associated with participating in the clinical research study for lymphoid malignancy?
A) Temporary hair color change; B) Increased energy levels; C) Diarrhea or colitis; D) Improved vision
Correct answer: C"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"Which of the following statements accurately reflects a potential benefit of participating in the ""A Phase I Study of Duvelisib in Combination with BMS-986345 in Lymphoid Malignancy"" research study?

A) Participants will definitely experience a reduction in their lymphoid malignancy symptoms.
B) Participants will receive financial compensation for their involvement in the study.
C) Participants may benefit from the study treatment, but there is no guarantee of personal health improvement.
D) Participants will have all medical expenses paid for by the study, including non-study related treatments.

Correct answer: C) Participants may benefit from the study treatment, but there is no guarantee of personal health improvement."
10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","What are the alternative treatment options available to you if you choose not to participate in the ""A Phase I Study of Duvelisib in Combination with BMS-986345 in Lymphoid Malignancy"" study?
A) You can opt for standard chemotherapy treatments for lymphoid malignancy; B) There are no alternative treatments available outside of this study; C) You will be automatically enrolled in a different clinical trial; D) You will receive a placebo treatment instead of the study drugs.

Correct answer: A"
11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","Which of the following statements is true regarding the confidentiality of your personal health information in this study?
A) Your personal health information may be shared with any third party without restrictions.
B) Your personal health information will be kept confidential and only shared with parties involved in the study, as listed in the consent form.
C) Your personal health information will be made public as part of the study results.
D) Your personal health information will be disclosed to marketing agencies for promotional purposes.

Correct answer: B"
12,"For research involving more than minimal risk, an explanation as to whether any compensation, and an explanation as to whether any medical treatments are available, if injury occurs and, if so, what they consist of, or where further information may be obtained","If you believe you have been injured as a result of participating in this study, which of the following statements is true according to the consent form?
A) You will automatically receive monetary compensation for the injury.
B) You may call the Moffitt Cancer Center Risk Manager for inquiries about your rights as a participant.
C) Secura Bio, the study sponsor, will cover all costs related to the injury.
D) You will be provided with free treatment for the injury at any healthcare facility.

Correct answer: B) You may call the Moffitt Cancer Center Risk Manager for inquiries about your rights as a participant."
13,"Research, Rights or Injury: An explanation of whom to contact for answers to pertinent questions about the research and research subjects' rights, and whom to contact in the event of a research-related injury to the subject","If you experience a research-related injury during the study, whom should you contact for assistance?

A) The National Cancer Institute's Information Service;
B) The Moffitt Cancer Center Risk Manager;
C) The Study Subject Adviser at Advarra IRB;
D) Your personal physician.

Correct answer: B) The Moffitt Cancer Center Risk Manager."
14,"A statement that participation is voluntary, refusal to participate will involve no penalty or loss of benefits to which the subject is otherwise entitled, and the subject may discontinue participation at any time without penalty or loss of benefits, to which the subject is otherwise entitled","Which of the following statements is true regarding your participation in the ""A Phase I Study of Duvelisib in Combination with BMS-986345 in Lymphoid Malignancy""?
A) You are required to participate in this study as part of your standard medical care.
B) If you decide not to participate in the study, you will lose access to certain medical treatments.
C) You can choose to stop participating in the study at any time without any penalties or loss of benefits you are entitled to.
D) Participation in the study is mandatory once you sign the consent form.

Correct answer: C) You can choose to stop participating in the study at any time without any penalties or loss of benefits you are entitled to."
