,Topics,Questions
0,A statement that the study involves research,"Which of the following statements is true regarding the nature of the activity described in the consent form?
A) The activity is a commercial product testing.
B) The activity is a routine medical procedure with no data collection.
C) The activity is a research study.
D) The activity is a recreational event for entertainment purposes.

Correct answer: C) The activity is a research study."
1,An explanation of the purposes of the research,"What is the primary objective of the ELEVATE study?
A) To evaluate the effectiveness of a new exercise program for women; B) To assess the acceptability of information sessions and self-testing in cervical cancer prevention; C) To develop a new vaccine for cervical cancer; D) To study the impact of dietary changes on cervical cancer risk
Correct answer: B"
2,The expected duration of the subject's participation,"How much time is anticipated for your participation in the information session, including questionnaires and self-test, as part of the ELEVATE study?
A) 15-30 minutes; B) 30-60 minutes; C) 1-2 hours; D) 2-3 hours
Correct answer: B) 30-60 minutes"
3,Any additional costs to the subject that may result from participation in the research,"Which of the following statements is true regarding any additional costs for participating in the ELEVATE study?
A) Participants will incur additional costs for the tests and procedures involved in the study.
B) Participants will be responsible for travel expenses related to the study.
C) There are no additional costs for participants, but they will receive financial compensation for their time.
D) Participation in the study does not involve any additional costs for the participants.

Correct answer: D) Participation in the study does not involve any additional costs for the participants."
4,A description of the procedures to be followed,"What is the correct sequence of procedures a participant will undergo in the ELEVATE study on the acceptability of information sessions and self-testing in cervical cancer prevention?

A) Attend an information session, take a self-test, complete questionnaires, and participate in a follow-up phone interview.
B) Complete questionnaires, attend an information session, receive a follow-up phone call, and then take a self-test.
C) Take a self-test, attend an information session, receive educational materials, and then complete a follow-up questionnaire.
D) Receive a follow-up phone call, attend an information session, take a self-test, and then complete questionnaires.

Correct answer: A) Attend an information session, take a self-test, complete questionnaires, and participate in a follow-up phone interview."
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will happen if you choose to withdraw from the ELEVATE study at any point after consenting to participate?
A) You will be required to provide a reason for your withdrawal and may affect your future relationship with the researcher; B) You will not be able to access any medical treatment for injuries related to the study; C) You may withdraw at any time without giving a reason and it will not affect your relationship with the researcher or your future treatment; D) Your previously collected personal data will be deleted from the study database immediately upon your withdrawal.

Correct answer: C"
6,Identification of any procedures which are experimental,"Which of the following procedures in the ELEVATE study is considered experimental?
A) Attending regular cervical cancer screening with a gynecologist; B) Participating in an information session about cervical cancer prevention; C) Using a self-sampling test for HPV as part of the study; D) Completing a questionnaire about personal health history

Correct answer: C) Using a self-sampling test for HPV as part of the study"
7,The approximate number of subjects involved in the study,"How many women are expected to participate in the ELEVATE study on the acceptability of information sessions and self-testing in cervical cancer prevention?
A) 500-600; B) 1100-1120; C) 250-260; D) 800-900
Correct answer: B"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"What are the potential risks or discomforts mentioned in the consent form for participants of the ELEVATE study?
A) Risk of severe allergic reactions to the self-test materials; B) Risk of data breach due to inadequate data protection measures; C) Minor bleeding after taking the self-test; D) Risk of injury due to participation in focus group discussions
Correct answer: C"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"Which of the following statements accurately describes a potential benefit of participating in the ELEVATE study on the acceptability of information sessions and self-testing in cervical cancer prevention?

A) Participants will receive a financial incentive for their involvement in the study.
B) Participants will gain personal medical benefits from the cervical cancer screening.
C) Participants will contribute to research that may lead to more effective methods of encouraging cervical cancer screening.
D) Participants will be provided with a cure for cervical cancer if detected during the study.

Correct answer: C) Participants will contribute to research that may lead to more effective methods of encouraging cervical cancer screening."
