,Topics,Questions
0,A statement that the study involves research,"Which of the following statements best describes the nature of the activity you are being asked to participate in according to the consent form?
A) A routine medical check-up with your primary care physician.
B) A research study to evaluate the effectiveness of at-home monitoring after cancer surgery.
C) A commercial product trial for a new fitness tracker.
D) A voluntary social survey conducted by the local government.

Correct answer: B) A research study to evaluate the effectiveness of at-home monitoring after cancer surgery."
1,An explanation of the purposes of the research,"What is the primary goal of the COH Protocol# 20717 research study?
A) To evaluate the effectiveness of a new cancer drug; B) To assess the impact of a new surgical technique; C) To understand the usefulness of an at-home monitoring program after cancer surgery; D) To compare different cancer screening methods
Correct answer: C"
2,The expected duration of the subject's participation,"How long is the expected duration of participation for each subject in the COH Protocol# 20717 study?
A) 1 to 2 months; B) 2 to 3 months; C) 3 to 4 months; D) 4 to 5 months
Correct answer: B) 2 to 3 months"
3,Any additional costs to the subject that may result from participation in the research,"What will be the financial responsibility of the participant for the home monitoring devices used in the study?

A) The participant will be charged for the use of the home monitoring devices.
B) The participant will be responsible for the cost of the devices if they are lost or damaged.
C) The participant will not incur any costs for the devices, and if lost, will not be responsible for the cost of replacement.
D) The participant will need to purchase the devices after the study is completed.

Correct answer: C) The participant will not incur any costs for the devices, and if lost, will not be responsible for the cost of replacement."
4,A description of the procedures to be followed,"Which of the following best describes the procedures that participants will follow in the study ""Perioperative Telemonitoring to Optimize Cancer Care and Outcomes""?

A) Participants will only complete online questionnaires before surgery and will not be required to use any monitoring devices post-surgery.
B) Participants will be required to use at-home monitoring devices before and after surgery, complete online questionnaires, and may be contacted by nurses if they are in the nurse-monitoring group.
C) Participants will be asked to stay in the hospital for continuous monitoring for 30 days post-surgery.
D) Participants will only wear a Vivofit 4 watch to track daily steps and will not be required to report any other health data.

Correct answer: B) Participants will be required to use at-home monitoring devices before and after surgery, complete online questionnaires, and may be contacted by nurses if they are in the nurse-monitoring group."
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will happen if you choose to withdraw your consent for participation in the research study?
A) You will be required to pay for any costs incurred up to the point of withdrawal; B) You will no longer be able to receive any type of medical care at City of Hope; C) Your participation will end without any penalty or loss of benefits to which you are otherwise entitled; D) You will have to provide a reason for your withdrawal to the research team.
Correct answer: C"
6,Identification of any procedures which are experimental,"Which of the following is considered an experimental procedure in the COH Protocol# 20717 study?
A) Standard post-operative care and follow-up with your primary care physician;
B) Use of a Vivofit 4 watch to track daily steps and report health data via a study-provided tablet;
C) Routine blood tests and physical examinations conducted during hospital stays;
D) Regularly scheduled clinic visits for standard post-surgical monitoring.

Correct answer: B"
7,The approximate number of subjects involved in the study,"How many participants are expected to be enrolled in the COH Protocol# 20717 study?
A) 50; B) 100; C) 160; D) 200
Correct answer: C) 160"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"What are the potential risks or discomforts associated with participating in the COH Protocol# 20717: Perioperative Telemonitoring to Optimize Cancer Care and Outcomes study?
A) Risk of surgical complications; B) Emotional distress from questionnaire topics; C) Allergic reactions to the Vivofit 4 watch or study tablet; D) Risk of data breach and loss of confidentiality

Correct answer: D"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"Which of the following statements best describes the potential benefits of participating in the research study according to the consent form?
A) Participants will definitely experience improved health outcomes after surgery.
B) Participants will receive financial compensation for their involvement in the study.
C) Participants may gain additional information and/or support during their recovery from surgery, which could potentially reduce complications.
D) Participants are guaranteed to receive new and experimental treatments that are not available outside the study.

Correct answer: C) Participants may gain additional information and/or support during their recovery from surgery, which could potentially reduce complications."
10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","If you decide not to participate in the Perioperative Telemonitoring to Optimize Cancer Care and Outcomes study, what is the alternative option available to you?
A) You will be required to participate in a different research study; 
B) You will not receive any surgical treatment for your cancer;
C) You will receive standard post-surgical care without the additional telemonitoring program;
D) You will be discharged without any follow-up care or instructions.

Correct answer: C"
11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","Which of the following statements best describes how your confidentiality will be protected in this study?
A) Your identity will be shared publicly along with the study results.
B) Your personal health information will be kept confidential, but there is no guarantee against all unauthorized disclosure.
C) All your health data will be made available to the public for future research without your consent.
D) The study will not collect any personal health information to ensure confidentiality.

Correct answer: B"
12,"For research involving more than minimal risk, an explanation as to whether any compensation, and an explanation as to whether any medical treatments are available, if injury occurs and, if so, what they consist of, or where further information may be obtained","If you experience an injury as a direct result of participating in this study, what kind of compensation or medical treatment is available to you according to the consent form?
A) Free medical treatment for the injury and financial compensation for participation.
B) Financial compensation for the injury and free medical treatment for participation.
C) No specific compensation or medical treatment is offered for injuries related to the study.
D) Financial compensation for participation, but no specific compensation or medical treatment for injuries.

Correct answer: C) No specific compensation or medical treatment is offered for injuries related to the study."
13,"Research, Rights or Injury: An explanation of whom to contact for answers to pertinent questions about the research and research subjects' rights, and whom to contact in the event of a research-related injury to the subject","If you experience any complications or have concerns about your rights as a research participant in the study, whom should you contact?

A) The Institutional Review Board (IRB) at City of Hope; B) The principal investigator of the study; C) The Office of Human Research Subjects Protection; D) Your personal physician

Correct answer: B) The principal investigator of the study"
14,"A statement that participation is voluntary, refusal to participate will involve no penalty or loss of benefits to which the subject is otherwise entitled, and the subject may discontinue participation at any time without penalty or loss of benefits, to which the subject is otherwise entitled","What does the consent form state about your right to discontinue participation in the study?

A) You may discontinue at any time, but it may affect your future care at City of Hope.
B) You may discontinue at any time without any impact on your future care or benefits you are entitled to.
C) If you discontinue, you will be penalized and may lose benefits.
D) You cannot discontinue once you have agreed to participate.

Correct answer: B) You may discontinue at any time without any impact on your future care or benefits you are entitled to."
